"Munic do un.saúde";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";" Total"
"352760 LUIS ANTONIO";"261";"1252";"773";"773";"383";"765";"687";"731";"893";"690";"7208"
"352780 LUPERCIO";"491";"530";"556";"426";"287";"446";"306";"339";"334";"319";"4034"
"352790 LUTECIA";"279";"69";"28";"232";"94";"221";"119";"216";"136";"134";"1528"
"352800 MACATUBA";"739";"581";"643";"569";"310";"485";"703";"871";"758";"576";"6235"
"352820 MACEDONIA";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"4"
"352830 MAGDA";"101";"75";"177";"180";"71";"113";"176";"273";"186";"211";"1563"
"352840 MAIRINQUE";"2668";"2601";"2798";"1840";"1540";"1580";"0";"1982";"2288";"2344";"19641"
"352860 MANDURI";"543";"417";"518";"540";"311";"433";"297";"517";"401";"453";"4430"
"352870 MARABA PAULISTA";"127";"159";"341";"311";"92";"120";"262";"397";"167";"357";"2333"
"352880 MARACAI";"691";"802";"383";"5";"0";"86";"66";"19";"45";"25";"2122"
"352885 MARAPOAMA";"64";"0";"1";"1";"0";"0";"0";"0";"0";"0";"66"
"352890 MARIAPOLIS";"194";"166";"181";"204";"111";"160";"170";"250";"240";"173";"1849"
"352900 MARILIA";"13823";"13740";"13424";"13293";"5356";"7951";"10302";"13650";"12749";"11900";"116188"
"352910 MARINOPOLIS";"139";"146";"108";"106";"70";"85";"136";"183";"118";"121";"1212"
"352920 MARTINOPOLIS";"1778";"2108";"1992";"2135";"1175";"1759";"1696";"2174";"1571";"1631";"18019"
"352940 MAUA";"0";"0";"0";"0";"0";"0";"27422";"16118";"15519";"14059";"73118"
"352950 MENDONCA";"297";"472";"459";"622";"366";"418";"550";"430";"385";"421";"4420"
"352960 MERIDIANO";"406";"355";"367";"336";"187";"178";"311";"270";"320";"255";"2985"
"352965 MESOPOLIS";"188";"215";"181";"132";"120";"105";"157";"96";"117";"195";"1506"
"352980 MINEIROS DO TIETE";"358";"463";"378";"479";"264";"370";"559";"606";"445";"445";"4367"
"352990 MIRACATU";"643";"1939";"1929";"1618";"1102";"1437";"1465";"1285";"1148";"296";"12862"
"353020 MIRANTE DO PARANAPANEMA";"1520";"1413";"1306";"1767";"882";"1111";"1218";"1821";"1232";"1500";"13770"
"353030 MIRASSOL";"75";"1415";"1902";"2007";"1084";"1168";"1671";"2361";"2620";"2708";"17011"
"353040 MIRASSOLANDIA";"359";"411";"449";"519";"350";"326";"504";"441";"445";"467";"4271"
"353090 MOMBUCA";"192";"146";"142";"147";"74";"192";"166";"215";"184";"165";"1623"
"353100 MONCOES";"256";"230";"221";"304";"247";"203";"248";"190";"256";"243";"2398"
"353120 MONTE ALEGRE DO SUL";"0";"0";"0";"77";"36";"0";"0";"0";"0";"0";"113"
"353130 MONTE ALTO";"1427";"1277";"1396";"1501";"745";"1301";"1555";"1777";"1811";"1453";"14243"
"353140 MONTE APRAZIVEL";"0";"146";"1025";"1342";"633";"626";"907";"958";"905";"1490";"8032"
"353160 MONTE CASTELO";"152";"138";"113";"108";"65";"166";"32";"0";"0";"0";"774"
"353180 MONTE MOR";"0";"0";"0";"635";"119";"0";"0";"0";"0";"0";"754"
"353190 MORRO AGUDO";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1"
"353200 MORUNGABA";"0";"0";"0";"62";"24";"0";"0";"0";"0";"0";"86"
"353205 MOTUCA";"50";"0";"0";"0";"13";"65";"0";"0";"1";"3";"132"
"353210 MURUTINGA DO SUL";"83";"26";"0";"0";"0";"0";"0";"0";"0";"0";"109"
"353215 NANTES";"333";"200";"253";"259";"148";"92";"289";"214";"99";"228";"2115"
"353220 NARANDIBA";"423";"304";"443";"374";"294";"276";"239";"532";"273";"495";"3653"
"353240 NAZARE PAULISTA";"0";"0";"0";"0";"44";"0";"0";"0";"0";"0";"44"
"353250 NEVES PAULISTA";"477";"452";"442";"610";"408";"325";"513";"430";"446";"374";"4477"
"353260 NHANDEARA";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1"
"353270 NIPOA";"0";"0";"79";"353";"197";"201";"275";"244";"299";"264";"1912"
"353280 NOVA ALIANCA";"492";"342";"438";"592";"432";"447";"608";"428";"336";"539";"4654"
"353282 NOVA CAMPINA";"404";"509";"441";"409";"270";"109";"184";"328";"293";"339";"3286"
"353286 NOVA CASTILHO";"0";"41";"62";"50";"24";"52";"67";"153";"76";"77";"602"
"353290 NOVA EUROPA";"587";"505";"529";"485";"186";"462";"334";"433";"422";"361";"4304"
"353300 NOVA GRANADA";"2";"410";"978";"1055";"338";"561";"728";"927";"952";"660";"6611"
"353310 NOVA GUATAPORANGA";"138";"253";"231";"177";"186";"205";"53";"166";"76";"167";"1652"
"353320 NOVA INDEPENDENCIA";"128";"27";"0";"0";"0";"0";"0";"0";"0";"0";"155"
"353325 NOVAIS";"291";"301";"304";"308";"115";"196";"212";"293";"207";"180";"2407"
"353330 NOVA LUZITANIA";"29";"186";"72";"162";"123";"234";"218";"122";"150";"97";"1393"
"353340 NOVA ODESSA";"0";"0";"0";"428";"156";"0";"0";"0";"0";"0";"584"
"353350 NOVO HORIZONTE";"628";"0";"0";"1";"0";"0";"0";"0";"0";"0";"629"
"353370 OCAUCU";"299";"287";"266";"293";"111";"304";"294";"253";"272";"279";"2658"
"353380 OLEO";"206";"249";"169";"172";"117";"139";"172";"158";"195";"260";"1837"
"353400 ONDA VERDE";"0";"58";"495";"410";"267";"203";"253";"319";"267";"347";"2619"
"353410 ORIENTE";"407";"468";"388";"503";"239";"241";"488";"452";"411";"377";"3974"
"353420 ORINDIUVA";"286";"441";"514";"470";"268";"373";"482";"408";"477";"445";"4164"
"353440 OSASCO";"28694";"14407";"497";"6496";"14815";"16618";"12397";"30995";"31882";"32878";"189679"
"353450 OSCAR BRESSANE";"304";"378";"439";"393";"155";"216";"330";"296";"257";"333";"3101"
"353460 OSVALDO CRUZ";"2236";"2471";"2266";"2031";"940";"1287";"1712";"1752";"1531";"1752";"17978"
"353470 OURINHOS";"4453";"5242";"4969";"4343";"2376";"3843";"3736";"4818";"4886";"5584";"44250"
"353475 OUROESTE";"64";"472";"0";"1";"0";"0";"0";"0";"0";"0";"537"
"353480 OURO VERDE";"421";"437";"402";"453";"332";"436";"371";"412";"436";"582";"4282"
"353490 PACAEMBU";"719";"948";"905";"809";"297";"465";"592";"530";"520";"495";"6280"
"353500 PALESTINA";"0";"0";"0";"0";"0";"0";"0";"0";"287";"816";"1103"
"353510 PALMARES PAULISTA";"0";"0";"0";"0";"104";"320";"51";"97";"17";"2";"591"
"353520 PALMEIRA D\'OESTE";"610";"597";"557";"621";"339";"453";"527";"674";"619";"517";"5514"
"353530 PALMITAL";"1248";"1473";"1398";"1075";"433";"1348";"881";"1206";"1204";"935";"11201"
"353540 PANORAMA";"948";"963";"903";"780";"565";"761";"860";"1154";"938";"871";"8743"
"353550 PARAGUACU PAULISTA";"2960";"2704";"2644";"2368";"1330";"2412";"1773";"2186";"1987";"2093";"22457"
"353570 PARAISO";"0";"123";"178";"191";"172";"374";"470";"370";"434";"381";"2693"
"353580 PARANAPANEMA";"506";"777";"1246";"880";"566";"525";"951";"1021";"720";"741";"7933"
"353590 PARANAPUA";"242";"267";"226";"258";"113";"187";"242";"242";"244";"196";"2217"
"353600 PARAPUA";"694";"719";"586";"613";"493";"653";"515";"819";"669";"699";"6460"
"353610 PARDINHO";"505";"333";"564";"579";"443";"364";"315";"377";"404";"604";"4488"
"353620 PARIQUERA-ACU";"359";"655";"669";"618";"414";"536";"574";"694";"763";"240";"5522"
"353625 PARISI";"261";"275";"272";"242";"153";"196";"282";"237";"180";"217";"2315"
"353630 PATROCINIO PAULISTA";"166";"380";"313";"326";"305";"549";"685";"806";"564";"420";"4514"
"353640 PAULICEIA";"108";"356";"359";"284";"542";"747";"686";"797";"752";"572";"5203"
"353650 PAULINIA";"0";"0";"3";"1221";"777";"0";"0";"0";"0";"0";"2001"
"353657 PAULISTANIA";"49";"54";"140";"97";"92";"126";"89";"147";"126";"191";"1111"
"353660 PAULO DE FARIA";"0";"0";"30";"211";"252";"224";"337";"289";"342";"313";"1998"
"353670 PEDERNEIRAS";"2028";"1829";"2202";"2010";"955";"1470";"1335";"1798";"1418";"1622";"16667"
"353680 PEDRA BELA";"0";"0";"0";"111";"27";"0";"0";"0";"0";"0";"138"
"353700 PEDREGULHO";"988";"849";"1081";"1014";"640";"885";"798";"1193";"1072";"721";"9241"
"353710 PEDREIRA";"0";"0";"0";"457";"187";"0";"0";"0";"0";"0";"644"
"353715 PEDRINHAS PAULISTA";"0";"204";"12";"88";"363";"629";"391";"354";"335";"309";"2685"
"353720 PEDRO DE TOLEDO";"180";"670";"754";"605";"588";"591";"591";"608";"444";"111";"5142"
"353750 PEREIRAS";"258";"269";"346";"306";"99";"242";"282";"369";"406";"398";"2975"
"353760 PERUIBE";"0";"0";"0";"0";"0";"400";"4344";"4139";"3913";"4140";"16936"
"353770 PIACATU";"150";"427";"439";"342";"280";"126";"276";"506";"398";"249";"3193"
"353800 PINDAMONHANGABA";"0";"0";"0";"0";"0";"1683";"9382";"9764";"10697";"10341";"41867"
"353810 PINDORAMA";"495";"588";"569";"591";"392";"459";"548";"531";"507";"563";"5243"
"353820 PINHALZINHO";"0";"0";"0";"34";"36";"0";"0";"0";"0";"0";"70"
"353830 PIQUEROBI";"245";"67";"332";"292";"88";"116";"130";"201";"54";"138";"1663"
"353860 PIRACAIA";"0";"0";"0";"340";"84";"0";"0";"0";"0";"0";"424"
"353870 PIRACICABA";"10535";"10714";"13863";"26332";"14808";"14531";"17135";"17380";"17089";"16546";"158933"
"353880 PIRAJU";"2330";"1931";"2893";"2199";"2005";"1885";"2539";"3076";"2792";"3073";"24723"
"353890 PIRAJUI";"1344";"838";"863";"915";"407";"672";"906";"1158";"721";"854";"8678"
"353910 PIRAPORA DO BOM JESUS";"800";"791";"601";"598";"483";"585";"593";"605";"553";"129";"5738"
"353920 PIRAPOZINHO";"1535";"1828";"1483";"1522";"886";"1278";"1284";"1818";"1884";"1564";"15082"
"353930 PIRASSUNUNGA";"2720";"2675";"3050";"2590";"1778";"2094";"1709";"2370";"2566";"1853";"23405"
"353940 PIRATININGA";"716";"436";"581";"511";"322";"418";"645";"644";"642";"709";"5624"
"353950 PITANGUEIRAS";"2012";"2268";"2261";"2087";"1268";"1708";"1796";"2140";"2147";"1636";"19323"
"353960 PLANALTO";"0";"0";"0";"0";"0";"167";"493";"432";"445";"416";"1953"
"353970 PLATINA";"207";"317";"348";"211";"53";"171";"229";"190";"240";"129";"2095"
"353980 POA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"666";"666"
"353990 POLONI";"389";"408";"495";"501";"307";"451";"509";"722";"622";"527";"4931"
"354000 POMPEIA";"930";"1135";"931";"912";"757";"875";"917";"1069";"915";"988";"9429"
"354010 PONGAI";"141";"157";"81";"107";"74";"155";"118";"137";"139";"185";"1294"
"354020 PONTAL";"324";"359";"393";"423";"468";"1013";"1241";"1597";"1486";"1481";"8785"
"354025 PONTALINDA";"428";"359";"387";"260";"201";"341";"295";"345";"253";"250";"3119"
"354030 PONTES GESTAL";"202";"129";"152";"147";"113";"129";"188";"106";"195";"214";"1575"
"354050 PORANGABA";"369";"271";"484";"408";"398";"363";"460";"601";"633";"574";"4561"
"354080 POTIRENDABA";"432";"608";"1260";"1082";"379";"402";"501";"658";"531";"656";"6509"
"354085 PRACINHA";"211";"183";"185";"176";"123";"134";"103";"140";"98";"138";"1491"
"354090 PRADOPOLIS";"284";"947";"971";"877";"362";"718";"658";"1220";"848";"897";"7782"
"354105 PRATANIA";"505";"402";"449";"364";"311";"238";"299";"210";"423";"343";"3544"
"354110 PRESIDENTE ALVES";"221";"96";"155";"89";"137";"115";"220";"121";"172";"107";"1433"
"354120 PRESIDENTE BERNARDES";"866";"758";"663";"694";"230";"367";"511";"553";"478";"556";"5676"
"354130 PRESIDENTE EPITACIO";"2534";"2833";"2404";"2558";"887";"1615";"1989";"2465";"1859";"2070";"21214"
"354140 PRESIDENTE PRUDENTE";"12592";"13156";"11965";"13605";"6993";"9466";"12045";"14762";"11713";"11012";"117309"
"354150 PRESIDENTE VENCESLAU";"2076";"2134";"1905";"1586";"899";"1505";"1389";"1568";"1340";"1517";"15919"
"354160 PROMISSAO";"1361";"1489";"1732";"2517";"1201";"1919";"1879";"2718";"2627";"2567";"20010"
"354165 QUADRA";"235";"397";"332";"67";"0";"199";"336";"334";"177";"0";"2077"
"354170 QUATA";"932";"1247";"1077";"957";"595";"1147";"964";"1126";"976";"907";"9928"
"354180 QUEIROZ";"104";"223";"166";"166";"67";"265";"109";"259";"266";"243";"1868"
"354200 QUINTANA";"578";"612";"565";"577";"341";"502";"424";"510";"540";"429";"5078"
"354210 RAFARD";"337";"303";"341";"320";"147";"262";"227";"243";"345";"258";"2783"
"354220 RANCHARIA";"2923";"3256";"3158";"3194";"1067";"1847";"2123";"2520";"2441";"2783";"25312"
"354240 REGENTE FEIJO";"2330";"1921";"2143";"2319";"1269";"2313";"1864";"2132";"1634";"2247";"20172"
"354250 REGINOPOLIS";"338";"173";"266";"111";"100";"195";"356";"198";"151";"136";"2024"
"354260 REGISTRO";"2608";"4863";"4478";"4401";"2029";"3080";"3711";"4251";"3496";"1000";"33917"
"354270 RESTINGA";"469";"481";"587";"631";"333";"559";"389";"494";"415";"285";"4643"
"354280 RIBEIRA";"145";"152";"142";"144";"17";"41";"33";"0";"100";"61";"835"
"354290 RIBEIRAO BONITO";"0";"0";"5";"438";"284";"569";"348";"418";"598";"481";"3141"
"354300 RIBEIRAO BRANCO";"1346";"1052";"1559";"1370";"932";"697";"1243";"1870";"1311";"1452";"12832"
"354310 RIBEIRAO CORRENTE";"355";"313";"380";"328";"285";"328";"412";"325";"344";"242";"3312"
"354320 RIBEIRAO DO SUL";"379";"311";"276";"287";"126";"386";"234";"354";"206";"243";"2802"
"354323 RIBEIRAO DOS INDIOS";"233";"225";"81";"286";"129";"180";"265";"199";"162";"245";"2005"
"354325 RIBEIRAO GRANDE";"319";"421";"274";"374";"159";"181";"190";"395";"435";"243";"2991"
"354330 RIBEIRAO PIRES";"3105";"2056";"1050";"2491";"1482";"2528";"3299";"1638";"3242";"3384";"24275"
"354340 RIBEIRAO PRETO";"37852";"34494";"31137";"31405";"15714";"18587";"24426";"26016";"26353";"25426";"271410"
"354350 RIVERSUL";"257";"245";"247";"303";"181";"197";"207";"222";"223";"299";"2381"
"354360 RIFAINA";"235";"419";"361";"397";"147";"273";"207";"0";"0";"0";"2039"
"354370 RINCAO";"383";"307";"572";"514";"266";"329";"527";"454";"414";"484";"4250"
"354380 RINOPOLIS";"978";"824";"607";"725";"443";"324";"434";"547";"464";"450";"5796"
"354390 RIO CLARO";"10607";"9801";"9152";"7981";"2458";"6835";"7469";"9722";"9366";"8488";"81879"
"354400 RIO DAS PEDRAS";"940";"1205";"1075";"1658";"1120";"1032";"1074";"1445";"1331";"1250";"12130"
"354425 ROSANA";"2039";"2136";"2263";"2141";"867";"1057";"1194";"1254";"1046";"1031";"15028"
"354440 RUBIACEA";"48";"145";"177";"124";"115";"22";"113";"118";"148";"128";"1138"
"354460 SABINO";"446";"366";"320";"308";"115";"283";"261";"273";"334";"284";"2990"
"354470 SAGRES";"184";"214";"178";"181";"99";"200";"142";"175";"78";"132";"1583"
"354480 SALES";"429";"237";"0";"0";"0";"0";"0";"0";"0";"0";"666"
"354490 SALES OLIVEIRA";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1"
"354510 SALMOURAO";"306";"349";"341";"303";"142";"237";"314";"295";"287";"329";"2903"
"354515 SALTINHO";"743";"645";"643";"688";"158";"485";"417";"436";"496";"598";"5309"
"354520 SALTO";"4845";"4945";"4777";"4559";"2997";"3241";"3069";"4685";"4804";"2206";"40128"
"354540 SALTO GRANDE";"384";"433";"491";"261";"353";"502";"370";"445";"488";"408";"4135"
"354550 SANDOVALINA";"268";"159";"239";"225";"131";"217";"194";"320";"194";"352";"2299"
"354560 SANTA ADELIA";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3"
"354570 SANTA ALBERTINA";"413";"377";"375";"341";"222";"240";"367";"495";"586";"332";"3748"
"354580 SANTA BARBARA D\'OESTE";"0";"0";"3";"1744";"472";"0";"0";"0";"0";"0";"2219"
"354600 SANTA BRANCA";"0";"52";"368";"622";"503";"432";"433";"743";"688";"698";"4539"
"354610 SANTA CLARA D\'OESTE";"0";"0";"0";"77";"1";"0";"0";"0";"0";"0";"78"
"354620 SANTA CRUZ DA CONCEICAO";"0";"8";"42";"17";"10";"9";"9";"99";"312";"241";"747"
"354625 SANTA CRUZ DA ESPERANCA";"366";"232";"163";"156";"79";"165";"133";"158";"196";"163";"1811"
"354640 SANTA CRUZ DO RIO PARDO";"3525";"2943";"2898";"3058";"1892";"3408";"4109";"4489";"4373";"4683";"35378"
"354650 SANTA ERNESTINA";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"4"
"354660 SANTA FE DO SUL";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1"
"354670 SANTA GERTRUDES";"1829";"1559";"1780";"1612";"734";"1321";"1398";"1700";"1639";"1848";"15420"
"354680 SANTA ISABEL";"3267";"3432";"3580";"1496";"1611";"2637";"2762";"3152";"3202";"3074";"28213"
"354690 SANTA LUCIA";"382";"531";"464";"458";"182";"259";"192";"136";"176";"216";"2996"
"354700 SANTA MARIA DA SERRA";"454";"510";"514";"352";"273";"529";"417";"467";"479";"374";"4369"
"354710 SANTA MERCEDES";"201";"275";"112";"9";"157";"221";"169";"240";"238";"182";"1804"
