,estado,ano_mes,municipio,tipo_exame,valor_indicador
235,CE,202012,MISSAO VELHA,Mamografia,279.0
236,CE,202012,NOVA OLINDA,Citopatologico,235.0
237,CE,202012,PENAFORTE,Citopatologico,127.0
238,CE,202012,PENAFORTE,Mamografia,74.0
239,CE,202012,PORTEIRAS,Citopatologico,953.0
240,CE,202012,PORTEIRAS,Mamografia,146.0
241,CE,202012,POTENGI,Citopatologico,469.0
242,CE,202012,SALITRE,Citopatologico,486.0
243,CE,202012,SANTANA DO CARIRI,Citopatologico,381.0
244,CE,202012,TARRAFAS,Citopatologico,82.0
245,CE,202012,VARZEA ALEGRE,Citopatologico,2074.0
246,CE,202112,ABAIARA,Citopatologico,498.0
247,CE,202112,ABAIARA,Mamografia,451.0
248,CE,202112,ALTANEIRA,Citopatologico,45.0
249,CE,202112,ANTONINA DO NORTE,Citopatologico,285.0
250,CE,202112,ANTONINA DO NORTE,Mamografia,128.0
251,CE,202112,ARARIPE,Citopatologico,898.0
252,CE,202112,ARARIPE,Mamografia,229.0
253,CE,202112,ASSARE,Citopatologico,993.0
254,CE,202112,ASSARE,Mamografia,50.0
255,CE,202112,AURORA,Citopatologico,812.0
256,CE,202112,AURORA,Mamografia,184.0
257,CE,202112,BARBALHA,Citopatologico,2996.0
258,CE,202112,BARBALHA,Mamografia,3430.0
259,CE,202112,BARRO,Citopatologico,638.0
260,CE,202112,BARRO,Mamografia,367.0
261,CE,202112,BREJO SANTO,Citopatologico,8104.0
262,CE,202112,BREJO SANTO,Mamografia,2462.0
263,CE,202112,CAMPOS SALES,Citopatologico,763.0
264,CE,202112,CAMPOS SALES,Mamografia,663.0
265,CE,202112,CARIRIACU,Citopatologico,1148.0
266,CE,202112,CARIRIACU,Mamografia,138.0
267,CE,202112,CRATO,Citopatologico,17465.0
268,CE,202112,CRATO,Mamografia,2990.0
269,CE,202112,FARIAS BRITO,Citopatologico,727.0
270,CE,202112,GRANJEIRO,Citopatologico,334.0
271,CE,202112,GRANJEIRO,Mamografia,7.0
272,CE,202112,JARDIM,Citopatologico,663.0
273,CE,202112,JARDIM,Mamografia,337.0
274,CE,202112,JATI,Mamografia,162.0
275,CE,202112,JUAZEIRO DO NORTE,Citopatologico,13638.0
276,CE,202112,JUAZEIRO DO NORTE,Mamografia,4187.0
277,CE,202112,MAURITI,Citopatologico,1741.0
278,CE,202112,MAURITI,Mamografia,774.0
279,CE,202112,MILAGRES,Citopatologico,1655.0
280,CE,202112,MILAGRES,Mamografia,340.0
281,CE,202112,MISSAO VELHA,Citopatologico,813.0
282,CE,202112,MISSAO VELHA,Mamografia,122.0
283,CE,202112,NOVA OLINDA,Citopatologico,508.0
284,CE,202112,PENAFORTE,Citopatologico,231.0
285,CE,202112,PENAFORTE,Mamografia,133.0
286,CE,202112,PORTEIRAS,Citopatologico,1138.0
287,CE,202112,PORTEIRAS,Mamografia,228.0
288,CE,202112,POTENGI,Citopatologico,797.0
289,CE,202112,POTENGI,Mamografia,101.0
290,CE,202112,SALITRE,Citopatologico,1555.0
291,CE,202112,SALITRE,Mamografia,190.0
292,CE,202112,SANTANA DO CARIRI,Citopatologico,618.0
293,CE,202112,TARRAFAS,Citopatologico,167.0
